Date,Open,High,Low,Adj Close,Volume,rsi_14,sma_50,adx_20,volume,corr_24,prev_open_close,prev_close_high,prev_close_low,momentum_20,y_1d_dir,ret_1d_fwd
2000-06-09,147.5,147.96875,145.625,92.58014678955078,3085300,55.8380590397549,91.34072448729219,15.233114754013108,3085300,-0.0008935276897532186,0.589825704941851,-0.5925203247807356,-0.5743316408682653,0.037602610914529766,-1.0,-0.0117248395402757
2000-06-12,146.96875,146.96875,144.875,91.49465942382812,3678900,51.58384151856798,91.29256942747774,14.644333548497658,3678900,-0.04101631674832881,0.5932141513589374,-0.5982773319246967,-0.5729614290959001,0.014441793378968226,1.0,0.018766237362753735
2000-06-13,144.8125,147.75,144.625,93.21166992,6558700,57.14566270728808,91.25743942255741,13.94012727911323,6558700,0.05260482158032868,0.6063096023911168,-0.6063096023911168,-0.5834257530693636,0.015917321906073978,1.0,0.001694053766269743
2000-06-14,148.25,148.875,147.1875,93.36957550048828,6420500,57.62774094314465,91.21441574091679,13.419853536501542,6420500,0.21639381339165273,0.5535876583295526,-0.5851019526504369,-0.5515761076282195,0.007882860253557444,1.0,0.0021133935663573133
2000-06-15,148.125,148.75,146.84375,93.56690216064452,5881200,58.259646012720985,91.18954818712967,12.858669134200973,5881200,0.2946128652830493,0.5877763094170297,-0.5944701387147406,-0.5763967996109212,0.02066743188976239,-1.0,-0.008216568149334025
2000-06-16,148.3125,148.3125,145.875,92.79810333251952,5567900,54.82887905576689,91.16114685045976,12.294654533390323,5567900,0.32206082629852956,0.5830918474321718,-0.5897715598685945,-0.5693984369375054,0.024856960497462666,1.0,0.01279043162290816
2000-06-19,146.46875,149.15625,146.25,93.98503112792967,5106900,58.85711068649727,91.14010360705156,11.76735074336781,5106900,0.3615681226251141,0.5982277080443993,-0.5982277080443993,-0.5719610074065015,0.05451434524397136,-1.0,-0.003577944161146429
2000-06-20,148.1875,148.875,147.0,93.64875793457033,6480000,57.2981093393809,91.10029541003007,11.266412142846423,6480000,0.32350510963687495,0.5584263604768192,-0.587021339568137,-0.5560988621786886,0.058711798423049855,-1.0,-0.00042330870006934695
2000-06-21,146.9375,148.4375,146.890625,93.60911560058594,3115000,57.10607384589166,91.06719390856523,10.766699312927981,3115000,0.28866402395188406,0.582375498279799,-0.5897167595539777,-0.5696951378971267,0.07408049046461307,-1.0,-0.015214921772904955
2000-06-22,147.5625,147.6875,145.0,92.1848602294922,7490500,50.55091034945869,91.01113327015509,10.562295283099907,7490500,0.029451957240963063,0.5696922148795545,-0.585716295337704,-0.5691914623652373,0.04076922242066061,-1.0,-0.008583650802553966
2000-06-23,145.8125,146.125,143.875,91.39357758,4863300,47.30219976140729,90.99134948728242,10.586810148183927,4863300,0.11734364442756513,0.6007238025055999,-0.6020797735369472,-0.5729263963629783,0.04984805469249687,1.0,0.012878721870324128
2000-06-26,145.375,146.25,144.875,92.57061004638672,5201300,52.22101433407045,91.02076339719453,10.57982641561655,5201300,0.16785484091956898,0.5954348638159527,-0.5988541412780528,-0.5742353435509314,0.06216457236360351,-1.0,-0.00737261521179311
2000-06-27,145.984375,146.71875,145.015625,91.88812255859376,4159500,49.344931127973936,91.14073089596641,10.45684907473853,4159500,0.1494416298470533,0.5704228364396998,-0.5798750805111339,-0.565021554113166,0.02103825625347766,1.0,0.0027984151188014117
2000-06-28,145.625,146.984375,145.3125,92.14526367,5347700,50.45217240358257,91.20584487908322,10.272928306575468,5347700,0.1138756333376259,0.5887186606398558,-0.5967107164088885,-0.5781759487743231,0.021655330676366935,-1.0,-0.009445783487224246
2000-06-29,144.75,145.75,143.515625,91.27487946,6345700,46.728866064957984,91.20658126828319,10.476671725930798,6345700,0.05321557218527905,0.5803850811206864,-0.5951376028006757,-0.5769936968264361,-0.005406028605306368,1.0,0.00758552137645685
2000-06-30,143.9375,145.59375,143.890625,91.96724700927734,7420200,49.89644759427482,91.23813720700389,10.670227974318362,7420200,0.054861004607338865,0.5858689801221241,-0.596824897083244,-0.5723452701232415,-0.015019116063172078,1.0,0.013766587295470645
2000-07-03,145.4375,147.4375,145.1875,93.23332214355467,1436600,55.14840516542019,91.2863305663789,10.370903928205676,1436600,-0.058635510758219746,0.5650952342357283,-0.5831043630708332,-0.5645855419102064,0.00341893680528349,-1.0,-0.01803543258181195
2000-07-05,146.375,146.65625,144.375,91.55181884765624,2748200,47.95824018848675,91.32063018796093,10.266335982824705,2748200,-0.18971719756622135,0.5599304696668933,-0.5813820274792442,-0.5572490249403493,-0.010263260233671079,1.0,0.007778827788277987
2000-07-06,144.9375,146.46875,144.21875,92.26398468017578,5963200,50.879287870515974,91.29457183835154,10.201752742419846,5963200,-0.17181443519862832,0.5988213215465491,-0.6018933522668563,-0.5769757697576978,-0.009432942241505149,1.0,0.016080739466946214
2000-07-07,146.6875,148.78125,146.25,93.74765778,3034800,56.37320106213324,91.3193046570375,9.818321852577299,3034800,-0.23020632646816572,0.5709000700805617,-0.5874964701310031,-0.5631099231181095,0.010457194011768811,-1.0,-0.001688274645146759
2000-07-10,147.875,148.90625,147.53125,93.58938598632812,2816100,55.658054353792224,91.34698913579727,9.483169474255469,2816100,-0.2427340728418037,0.5647057587746381,-0.5870396500907652,-0.5600389755145518,0.010901248612961378,1.0,0.002113810215874423
